,From,To,Latitude (From),Longitude (From),Latitude (To),Longitude (To),Mean distance (km)
0,AMS,ACE,52.3091,4.7634,28.9504,-13.6058,3003.0
1,AMS,FUE,52.3091,4.7634,28.4530555556,-13.8641666667,3066.06
2,AMS,LPA,52.3091,4.7634,27.9378,-15.3904,3176.5
3,AMS,TFS,52.3091,4.7634,28.4881,-16.346,3223.77
4,AMS,AYT,52.3091,4.7634,36.9043,30.8019,2654.68
5,AMS,WAW,52.3091,4.7634,52.1672,20.9679,1101.12
6,AMS,KEF,52.3091,4.7634,63.9961,-22.6234,2037.66
7,AMS,AGP,52.3091,4.7634,36.6749,-4.49911,1883.57
8,AMS,ALC,52.3091,4.7634,38.286831,-0.557224,1614.26
9,AMS,ATH,52.3091,4.7634,37.937225,23.945238,2181.75
10,AMS,BCN,52.3091,4.7634,41.297445,2.0832941,1239.0
11,AMS,LIS,52.3091,4.7634,38.7704,-9.1291,2238.68
12,AMS,NAP,52.3091,4.7634,40.883,14.2866,1460.0
13,AMS,NCE,52.3091,4.7634,43.6595,7.2062,980.0
14,AMS,OPO,52.3091,4.7634,41.2481,-8.68139,1594.9
15,AMS,PRG,52.3091,4.7634,50.0995,14.2865,701.0
16,AMS,VLC,52.3091,4.7634,39.4880555556,-0.475664764,1479.0
17,AMS,BER,52.3091,4.7634,52.3786,13.5206,577.34
18,AMS,BHX,52.3091,4.7634,52.452381,-1.743507,442.11
19,AMS,CPH,52.3091,4.7634,55.62075,12.650462,633.39
20,AMS,EDI,52.3091,4.7634,55.9482,-3.3641,658.68
21,AMS,FCO,52.3091,4.7634,41.7999,12.2462,1296.72
22,AMS,GLA,52.3091,4.7634,55.865101,-4.433177,711.0
23,AMS,GVA,52.3091,4.7634,46.2381,6.10895,692.0
24,AMS,LIN,52.3091,4.7634,45.4522,9.2763,829.0
25,AMS,MXP,52.3091,4.7634,45.6301,8.7255,792.0
26,AMS,VCE,52.3091,4.7634,45.5047,12.3357,936.87
27,AMS,VIE,52.3091,4.7634,48.1158,16.5666,959.48
28,AMS,ADB,52.3091,4.7634,38.2892,27.155,2329.0
29,AMS,KYA,52.3091,4.7634,37.9796,32.5622,2672.0
30,AMS,DUB,52.3091,4.7634,53.4265,-6.2323,750.12
31,AMS,ARN,52.3091,4.7634,59.6498,17.9238,1141.66
32,AMS,BEG,52.3091,4.7634,44.8184,20.3091,1410.15
33,AMS,CDG,52.3091,4.7634,49.009724,2.547778,398.27
34,AMS,HAM,52.3091,4.7634,53.6336,9.9974,380.0
35,AMS,HEL,52.3091,4.7634,60.321042,24.95286,1521.31
36,AMS,IST,52.3091,4.7634,41.2731718,28.7263457676055,2215.61
37,AMS,KBP,52.3091,4.7634,50.342613,30.892525,1818.56
38,AMS,LHR,52.3091,4.7634,51.47002,-0.454295,370.45
39,AMS,MAD,52.3091,4.7634,40.497,-3.5611,1458.51
40,AMS,MUC,52.3091,4.7634,48.3535,11.7812,825.36
41,AMS,OSL,52.3091,4.7634,60.197552,11.100415,959.18
42,AMS,SVO,52.3091,4.7634,55.973648,37.412503,2144.24
43,AMS,ZAG,52.3091,4.7634,45.7408,16.0674,1098.79
44,AMS,ZRH,52.3091,4.7634,47.451542,8.564572,614.63
45,AMS,LBA,52.3091,4.7634,53.8679,-1.6615,462.0
46,AMS,SAW,52.3091,4.7634,40.898335,29.309168,2246.49
47,AMS,BRS,52.3091,4.7634,51.3836,-2.7135,526.0
48,AMS,BSL,52.3091,4.7634,47.5987,7.5291,560.62
49,AMS,BIO,52.3091,4.7634,43.3025,-2.9111,1152.46
50,AMS,FRA,52.3091,4.7634,50.033333,8.570556,364.42
51,AMS,STR,52.3091,4.7634,48.6876,9.2056,501.52
52,AMS,FLR,52.3091,4.7634,43.8097,11.2003,1057.0
53,AMS,LCY,52.3091,4.7634,51.503,0.0495,336.0
