,Date,From,To,Airline,Latitude (From),Longitude (From),Latitude (To),Longitude (To),Weekday,Mean distance (km),Mean flight time (hr),CO2 per pax (kg),#trees
0,2021-11-28,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Sunday,3003.0,4.082666666666666,191.68517345110084,7.986882227129201
1,2021-11-21,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Sunday,3003.0,4.082666666666666,191.68517345110084,7.986882227129201
2,2021-11-14,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Sunday,3003.0,4.082666666666666,191.68517345110084,7.986882227129201
3,2021-11-07,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Sunday,3003.0,4.082666666666666,191.68517345110084,7.986882227129201
4,2021-10-10,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Sunday,3003.0,4.082666666666666,191.68517345110084,7.986882227129201
5,2021-10-03,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Sunday,3003.0,4.082666666666666,191.68517345110084,7.986882227129201
6,2021-11-30,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Tuesday,3003.0,4.034722222222222,191.68517345110084,7.986882227129201
7,2021-11-23,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Tuesday,3003.0,4.034722222222222,191.68517345110084,7.986882227129201
8,2021-11-16,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Tuesday,3003.0,4.034722222222222,191.68517345110084,7.986882227129201
9,2021-11-09,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Tuesday,3003.0,4.034722222222222,191.68517345110084,7.986882227129201
10,2021-11-02,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Tuesday,3003.0,4.034722222222222,191.68517345110084,7.986882227129201
11,2021-10-26,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Tuesday,3003.0,4.034722222222222,191.68517345110084,7.986882227129201
12,2021-10-12,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Tuesday,3003.0,4.034722222222222,191.68517345110084,7.986882227129201
13,2021-10-05,Amsterdam (AMS),Lanzarote (ACE),TUI fly,52.3091,4.7634,28.9504,-13.6058,Tuesday,3003.0,4.034722222222222,191.68517345110084,7.986882227129201
14,2021-11-28,Amsterdam (AMS),Fuerteventura (FUE),TUI fly,52.3091,4.7634,28.4530555556,-13.8641666667,Sunday,3066.06,4.082666666666666,195.7103705998942,8.154598774995591
15,2021-11-21,Amsterdam (AMS),Fuerteventura (FUE),TUI fly,52.3091,4.7634,28.4530555556,-13.8641666667,Sunday,3066.06,4.082666666666666,195.7103705998942,8.154598774995591
16,2021-11-14,Amsterdam (AMS),Fuerteventura (FUE),TUI fly,52.3091,4.7634,28.4530555556,-13.8641666667,Sunday,3066.06,4.082666666666666,195.7103705998942,8.154598774995591
17,2021-11-07,Amsterdam (AMS),Fuerteventura (FUE),TUI fly,52.3091,4.7634,28.4530555556,-13.8641666667,Sunday,3066.06,4.082666666666666,195.7103705998942,8.154598774995591
18,2021-11-16,Amsterdam (AMS),Fuerteventura (FUE),TUI fly,52.3091,4.7634,28.4530555556,-13.8641666667,Tuesday,3066.06,4.034722222222222,195.7103705998942,8.154598774995591
19,2021-11-09,Amsterdam (AMS),Fuerteventura (FUE),TUI fly,52.3091,4.7634,28.4530555556,-13.8641666667,Tuesday,3066.06,4.034722222222222,195.7103705998942,8.154598774995591
20,2021-11-02,Amsterdam (AMS),Fuerteventura (FUE),TUI fly,52.3091,4.7634,28.4530555556,-13.8641666667,Tuesday,3066.06,4.034722222222222,195.7103705998942,8.154598774995591
21,2021-11-25,Amsterdam (AMS),Fuerteventura (FUE),TUI fly,52.3091,4.7634,28.4530555556,-13.8641666667,Thursday,3066.06,4.032638888888889,195.7103705998942,8.154598774995591
22,2021-11-18,Amsterdam (AMS),Fuerteventura (FUE),TUI fly,52.3091,4.7634,28.4530555556,-13.8641666667,Thursday,3066.06,4.032638888888889,195.7103705998942,8.154598774995591
23,2021-11-11,Amsterdam (AMS),Fuerteventura (FUE),TUI fly,52.3091,4.7634,28.4530555556,-13.8641666667,Thursday,3066.06,4.032638888888889,195.7103705998942,8.154598774995591
24,2021-11-04,Amsterdam (AMS),Fuerteventura (FUE),TUI fly,52.3091,4.7634,28.4530555556,-13.8641666667,Thursday,3066.06,4.032638888888889,195.7103705998942,8.154598774995591
